Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 122.0.0.0,,,05-03-2024 14:02:33,05-03-2024 14:03:07,34.929s,PASSED
,,,,,,,
Test Cases/TC01,Chrome 122.0.0.0,,,05-03-2024 14:02:33,05-03-2024 14:02:38,4.874s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:02:33,05-03-2024 14:02:34,1.245s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:02:34,05-03-2024 14:02:34,0.299s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:02:34,05-03-2024 14:02:35,0.752s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 14:02:35,05-03-2024 14:02:36,0.572s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 14:02:36,05-03-2024 14:02:36,0.541s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:02:36,05-03-2024 14:02:37,0.335s,PASSED
"verifyTextPresent(""First Name: johnjohn"", false)",Chrome 122.0.0.0,,,05-03-2024 14:02:37,05-03-2024 14:02:37,0.293s,PASSED
"takeFullPageScreenshot(""img/01.png"")",Chrome 122.0.0.0,,,05-03-2024 14:02:37,05-03-2024 14:02:37,0.371s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:02:37,05-03-2024 14:02:38,0.279s,PASSED
,,,,,,,
Test Cases/TC02,Chrome 122.0.0.0,,,05-03-2024 14:02:38,05-03-2024 14:02:41,3.959s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:02:38,05-03-2024 14:02:38,0.610s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:02:38,05-03-2024 14:02:38,0.136s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnj"")",Chrome 122.0.0.0,,,05-03-2024 14:02:38,05-03-2024 14:02:39,0.831s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 14:02:39,05-03-2024 14:02:40,0.600s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 14:02:40,05-03-2024 14:02:40,0.550s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:02:40,05-03-2024 14:02:41,0.306s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:02:41,05-03-2024 14:02:41,0.275s,PASSED
"takeFullPageScreenshot(""img/02.png"")",Chrome 122.0.0.0,,,05-03-2024 14:02:41,05-03-2024 14:02:41,0.272s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:02:41,05-03-2024 14:02:41,0.324s,PASSED
,,,,,,,
Test Cases/TC03,Chrome 122.0.0.0,,,05-03-2024 14:02:41,05-03-2024 14:02:45,3.806s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:02:42,05-03-2024 14:02:42,0.516s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:02:42,05-03-2024 14:02:42,0.178s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnjohnjohnjo"")",Chrome 122.0.0.0,,,05-03-2024 14:02:42,05-03-2024 14:02:43,0.850s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncanon"")",Chrome 122.0.0.0,,,05-03-2024 14:02:43,05-03-2024 14:02:44,0.601s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""150"")",Chrome 122.0.0.0,,,05-03-2024 14:02:44,05-03-2024 14:02:44,0.568s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:02:44,05-03-2024 14:02:45,0.313s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:02:45,05-03-2024 14:02:45,0.270s,PASSED
"takeFullPageScreenshot(""img/03.png"")",Chrome 122.0.0.0,,,05-03-2024 14:02:45,05-03-2024 14:02:45,0.295s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:02:45,05-03-2024 14:02:45,0.162s,PASSED
,,,,,,,
Test Cases/TC04,Chrome 122.0.0.0,,,05-03-2024 14:02:45,05-03-2024 14:02:49,3.869s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:02:45,05-03-2024 14:02:46,0.649s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:02:46,05-03-2024 14:02:46,0.142s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnjohnjohnjo"")",Chrome 122.0.0.0,,,05-03-2024 14:02:46,05-03-2024 14:02:47,0.831s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:02:47,05-03-2024 14:02:48,0.585s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 14:02:48,05-03-2024 14:02:48,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:02:48,05-03-2024 14:02:48,0.324s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:02:48,05-03-2024 14:02:49,0.299s,PASSED
"takeFullPageScreenshot(""img/04.png"")",Chrome 122.0.0.0,,,05-03-2024 14:02:49,05-03-2024 14:02:49,0.287s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:02:49,05-03-2024 14:02:49,0.153s,PASSED
,,,,,,,
Test Cases/TC05,Chrome 122.0.0.0,,,05-03-2024 14:02:49,05-03-2024 14:02:53,3.611s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:02:49,05-03-2024 14:02:50,0.529s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:02:50,05-03-2024 14:02:50,0.132s,PASSED
